1,Promilsa SRL,4844816,Av los Dominicos 772,1
2,Comercial Nemdar EIRL,958949285,Lambayeque 102 Mariano Melgar,2
3,Global Importaciones SAC,959824465,Andia 113 Mariano Melgar,2
4,Distribuciones M Olano SAC,955089849,Av Manuel Antonio Mesones Muro 230,3
5,Cano Hnos SRL,999276722,Viv Paraiso Florido Lote 34,4
6,Distribuidora y Electro Abigail SAC,944960909,Avenida Jose Galvez 518,5
7,D Co Centro El Olivo SAC,984102527,Via Expresa A12,6
8,Dimarsa SAC,233261,Pasaje los Angeles 116,7
9,Distribuidora El Auquiato EIRL,4494024,Calle Daniel Cruz Lote 22,4
10,Inversiones Shimba,987003718,Jr Martinez De Compagnon 225,8
11,Distribuidora ATM SRLTDA,949660241,Calle El Palmar 395,9
12,Inversiones Baltodano SAC,955806730,Calle Los Calderos 247,9
13,CORPBESTS SAC,994570903,Av Jorge Basadre Lote 3,10
